ID,SMILES,AV_Bit,AV
Ligand0,Fc1cccc(COc2ccc(Nc3ncnc4ccc(c5ccc(CNCCS(=O)(=O)C)o5)cc34)cc2Cl)c1,1,-6.9291460570000005
Ligand1,O=C1C=C([C@H]2CC[C@]3(O)[C@@H]4CC[C@@H]5C[C@@H](O[C@@H]6O[C@@H]([C@H]([C@@H](O)C6)O[C@@H]6O[C@@H]([C@H]([C@@H](O)C6)O[C@@H]6O[C@@H]([C@H]([C@@H](O)C6)O[C@@H]6O[C@@H]([C@H]([C@H](O)[C@H]6O)O)CO)C)C)C)CC[C@]5(C)[C@H]4C[C@@H](O)[C@]23C)CO1,1,-6.7677461260000005
Ligand2,CCn1c2ccccc2sc1=CC=Cc1sc2ccccc2[n+]1CC,1,-6.5830950029999995
Ligand3,CCN(CCOc1ccc2c3ccc(OCCN(CC)CC)cc3C(=O)c2c1)CC,1,-6.520338328999999
Ligand4,CN(Cc1c2cc3Cn4c(=O)c5COC(=O)[C@@](CC)(O)c5cc4c3nc2ccc1O)C,1,-6.468944087000001
Ligand5,CCN(CCNC(=O)C1C(=C(/C=C\2/c3cc(ccc3NC2=O)F)N=C1C)C)CC,1,-6.4673755470000005
Ligand6,[O-][n+]1ccccc1SSc1cccc[n+]1[O-],1,-6.442346053
Ligand7,O=C1C=C([C@H]2CC[C@@]3([C@@H]4CC[C@@]5(C[C@@H](O[C@@H]6O[C@H]([C@@H]([C@@H](O)[C@H]6O)O)C)C[C@@H](O)[C@]5(CO)[C@H]4[C@@H](C[C@]23C)O)O)O)CO1,1,-6.4315319120000005
Ligand8,N[C@H](C(=O)O)CSSC[C@@H](C(=O)O)N,1,-6.36281959
Ligand9,[O-]C(=O)c1ccccc1S[Hg]CC,1,-6.34716114
Ligand10,COc1cc2CCN[C@H](C[C@H]3C[C@H]4c5cc(c(cc5CCN4C[C@@H]3CC)OC)OC)c2cc1OC,1,-6.324327038
Ligand11,O=C1CC(CC(=O)N1)C[C@H]([C@@H]1C[C@H](C[C@H](C)C1=O)C)O,1,-6.3138161329999996
Ligand12,O=C1C[C@@H]2[C@]3(CC[C@@H](C[C@@H]3CC[C@H]2[C@@H]2C[C@@H]3O[C@@]4([C@@H](C)[C@@H]3[C@@]12C)CC[C@H](CO4)C)O)C,1,-6.143155152
Ligand13,OCCNCCNc1ccc(c2C(=O)c3c(ccc(O)c3C(=O)c12)O)NCCNCCO,1,-6.131427264
Ligand14,COc1ccc2cc1Oc1ccc(C[C@@H]3N(CCc4cc5c(c(Oc6c(cc7c([C@@H](C2)N(CC7)C)c6)OC)c34)OCO5)C)cc1,1,-6.098670297000001
Ligand15,O=C(c1ccccc1)Oc1cccc2cccnc12,1,-6.020758562
Ligand16,Cc1ccc([N+](=O)[O-])c2[Hg]Oc12,1,-5.875464476
Ligand17,NC(=O)C1=C([C@H]([C@H]2[C@@](C1=O)(C(=C1C(=O)c3c(cccc3[C@H](C)[C@H]1[C@@H]2O)O)O)O)N(C)C)O,1,-5.86544552
Ligand18,NC(=O)C1=C([C@H]([C@H]2[C@@](C1=O)(C(=C1C(=O)c3c(cccc3C(=C)[C@H]1[C@@H]2O)O)O)O)N(C)C)O,1,-5.844301797000001
Ligand19,O=S(=O)(c1cc(S(=O)(=O)O)cc2c(S(=O)(=O)O)ccc(NC(=O)c3cc(c(cc3)C)NC(=O)c3cc(NC(=O)Nc4cccc(C(=O)Nc5cc(C(=O)Nc6ccc(S(=O)(=O)O)c7cc(S(=O)(=O)O)cc(S(=O)(=O)O)c67)ccc5C)c4)ccc3)c12)O,1,-5.823229457
Ligand20,CC(=O)c1ccc(c2ccc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)cc2)cc1,1,-5.643441646
Ligand21,Oc1c2oc(=O)c3cc(c(c4oc(=O)c(cc1O)c2c34)O)O,1,-5.581404912999999
Ligand22,CCN(C(=S)SSC(=S)N(CC)CC)CC,1,-5.555459017
Ligand23,Oc1ccc(c(O)c1O)C(=O)c1cc(c(c(O)c1)O)O,1,-5.463917522000001
Ligand24,Oc1ccc([C@H]([C@@H](N)C)O)cc1O,1,-5.454226917000001
Ligand25,Clc1cc([N+](=O)[O-])ccc1NC(=O)c1cc(ccc1O)Cl,1,-5.405683485
